ANMOIS;CIE;CIE_NOM;CIE_NAT;CIE_PAYS;CIE_PAX;CIE_FRP;CIE_PEQ;CIE_PKT;CIE_TKT;CIE_PEQKT;CIE_VOL;source_file;ANNEE;MOIS
201001;AAF;AIGLE AZUR;F;FRANCE;107817;261,5;110432;0,152;0,0004;0,156;1098;ASP_CIE_2010.csv;2010;1
201001;AAL;AMERICAN AIRLINES;E;ETATS-UNIS;42146;3050;72646;0,287;0,0208;0,495;276;ASP_CIE_2010.csv;2010;1
201001;AAR;ASIANA AIRLINES;E;COREE DU SUD;6119;871,9;14838;0,055;0,0078;0,133;26;ASP_CIE_2010.csv;2010;1
201001;AAW;AFRIQIYAH AIRWAYS;E;LIBYE;8387;544,4;13831;0,017;0,0011;0,028;64;ASP_CIE_2010.csv;2010;1
201001;ACA;AIR CANADA;E;CANADA;29851;1632,6;46177;0,165;0,0093;0,258;152;ASP_CIE_2010.csv;2010;1
201001;ACI;AIRCALIN;F;FRANCE (OM);37618;482,2;42440;0,147;0,0022;0,169;336;ASP_CIE_2010.csv;2010;1
201001;AEA;AIR EUROPA;E;ESPAGNE;65697;79,1;66488;0,078;0,0001;0,079;622;ASP_CIE_2010.csv;2010;1
201001;AEE;AEGEAN AIRLINES;E;GRECE;12005;173,8;13743;0,025;0,0004;0,029;126;ASP_CIE_2010.csv;2010;1
201001;AFL;AEROFLOT;E;RUSSIE (FED. DE);30606;397,1;34577;0,075;0,001;0,085;310;ASP_CIE_2010.csv;2010;1
201001;AFR;AIR FRANCE;F;FRANCE;3038392;57289,5;3611287;9,832;0,4037;13,869;26122;ASP_CIE_2010.csv;2010;1
201001;AMX;AEROMEXICO;E;MEXIQUE;8328;181,5;10143;0,077;0,0017;0,094;60;ASP_CIE_2010.csv;2010;1
201001;ANA;ANA ALL NIPPON AIRWAYS;E;JAPON;15275;1610,6;31381;0,148;0,0157;0,305;62;ASP_CIE_2010.csv;2010;1
201001;ANE;AIR NOSTRUM;E;ESPAGNE;36428;0,4;36432;0,027;0;0,027;1113;ASP_CIE_2010.csv;2010;1
201001;AUA;AUSTRIAN AIRLINES;E;AUTRICHE;28616;143,4;30050;0,028;0,0001;0,029;540;ASP_CIE_2010.csv;2010;1
201001;AWE_EX;US AIRWAYS;E;ETATS-UNIS;12355;1056,1;22916;0,074;0,0063;0,137;62;ASP_CIE_2010.csv;2010;1
201001;AZA;ALITALIA;E;ITALIE;59906;280,7;62713;0,057;0,0003;0,06;662;ASP_CIE_2010.csv;2010;1
201001;BAW;BRITISH AIRWAYS;E;ROYAUME-UNI;118564;1000,9;128573;0,083;0,0004;0,087;1358;ASP_CIE_2010.csv;2010;1
201001;BCS1;EUROPEAN AIR TRANSPORT (1);E;BELGIQUE;0;2829,1;28291;0;0,002;0,02;440;ASP_CIE_2010.csv;2010;1
201001;BCY;CITYJET IRL;E;IRLANDE;103518;78;104298;0,069;0;0,069;1903;ASP_CIE_2010.csv;2010;1
201001;BEE;FLYBE;E;ROYAUME-UNI;34712;0;34712;0,022;0;0,022;691;ASP_CIE_2010.csv;2010;1
201001;BEL;BRUSSELS AIRLINES;E;BELGIQUE;36903;23,5;37138;0,025;0;0,025;785;ASP_CIE_2010.csv;2010;1
201001;BER;AIR BERLIN;E;ALLEMAGNE;21489;2,8;21517;0,022;0;0,022;246;ASP_CIE_2010.csv;2010;1
201001;BGA;AIRBUS TRANSPORT INTL;F;FRANCE;0;3684;36840;0;0,0034;0,034;192;ASP_CIE_2010.csv;2010;1
201001;BIE;AIR MEDITERRANEE;F;FRANCE;68920;1,4;68934;0,246;0;0,246;434;ASP_CIE_2010.csv;2010;1
201001;BZH;BRIT AIR;F;FRANCE;145047;3;145077;0,087;0;0,087;3955;ASP_CIE_2010.csv;2010;1
