ANMOIS;APT;APT_NOM;APT_ZON;APT_PEQ;APT_PAX_dep;APT_PAX_arr;APT_PAX_tr;APT_FRP_dep;APT_FRP_arr;APT_NMVT_mxt;APT_NMVT_cgo;source_file
199801;FMCZ;MAYOTTE-MARCEL HENRY;OM;8222;2836;3761;614;12,2;89;126;0;ASP_APT_1998.csv
199801;FMEE;LA REUNION-ROLAND GARROS;OM;170717;69365;70965;11465;646,6;1245,6;1224;34;ASP_APT_1998.csv
199801;LFBA;AGEN-LA GARENNE;MT;1954;986;961;7;0;0;168;0;ASP_APT_1998.csv
199801;LFBD;BORDEAUX-MERIGNAC;MT;208775;96117;95143;2910;712,1;748,5;3750;194;ASP_APT_1998.csv
199801;LFBE;BERGERAC-DORDOGNE-PERIGORD;MT;1306;610;581;115;0;0;155;0;ASP_APT_1998.csv
199801;LFBH;LA ROCHELLE-ILE DE RE;MT;2648;1401;1247;0;0;0;185;0;ASP_APT_1998.csv
199801;LFBI;POITIERS-BIARD;MT;9752;1566;1657;661;290,5;296,4;388;46;ASP_APT_1998.csv
199801;LFBL;LIMOGES-BELLEGARDE;MT;10971;4825;4580;64;78,4;71,9;421;41;ASP_APT_1998.csv
199801;LFBO;TOULOUSE-BLAGNAC;MT;407941;182188;177644;8401;1079,8;2891;5882;477;ASP_APT_1998.csv
199801;LFBP;PAU-PYRENEES;MT;48312;23429;22158;1109;89;72,6;926;42;ASP_APT_1998.csv
199801;LFBT;TARBES-LOURDES-PYRENEES;MT;8796;4364;4405;0;0,3;2,4;141;0;ASP_APT_1998.csv
199801;LFBU;ANGOULEME-BRIE-CHAMPNIERS;MT;1359;686;673;0;0;0;117;0;ASP_APT_1998.csv
199801;LFBV;BRIVE-LA-ROCHE;MT;2806;1392;1414;0;0;0;123;0;ASP_APT_1998.csv
199801;LFBX;PERIGUEUX-BASSILLAC;MT;2850;1460;1390;0;0;0;168;0;ASP_APT_1998.csv
199801;LFBZ;BIARRITZ-PAYS-BASQUE;MT;45868;23856;21506;72;23,1;20,3;757;0;ASP_APT_1998.csv
199801;LFCK;CASTRES-MAZAMET;MT;1678;852;826;0;0;0;164;0;ASP_APT_1998.csv
199801;LFCR;RODEZ-AVEYRON;MT;5868;2761;2542;557;0,8;0;278;0;ASP_APT_1998.csv
199801;LFEC;OUESSANT;MT;1141;573;474;0;1;8,4;180;0;ASP_APT_1998.csv
199801;LFJL;METZ-NANCY-LORRAINE;MT;16811;7595;6233;21;118,4;177,8;633;80;ASP_APT_1998.csv
199801;LFKB;BASTIA-PORETTA;MT;48330;22109;19138;658;186,7;455,9;836;152;ASP_APT_1998.csv
199801;LFKC;CALVI-STE-CATHERINE;MT;5493;3169;2294;0;0;3;166;0;ASP_APT_1998.csv
199801;LFKF;FIGARI-SUD-CORSE;MT;8165;4613;3551;1;0;0;246;0;ASP_APT_1998.csv
199801;LFKJ;AJACCIO-NAPOLEON-BONAPARTE;MT;43318;21918;18331;4;38,7;267,8;801;129;ASP_APT_1998.csv
199801;LFLB;CHAMBERY-AIX-LES-BAINS;MT;16530;8017;8496;13;0,2;0,2;414;0;ASP_APT_1998.csv
199801;LFLC;CLERMONT-FERRAND-AUVERGNE;MT;51874;23367;23247;3180;100;108,1;1977;42;ASP_APT_1998.csv
199801;LFLL;LYON-ST-EXUPERY;MT;440392;199127;199919;10932;1430,2;1611,2;7440;735;ASP_APT_1998.csv
199801;LFLP;ANNECY-MEYTHET;MT;6675;3278;3393;0;0,4;0;283;0;ASP_APT_1998.csv
199801;LFLS;GRENOBLE-ALPES-ISERE;MT;42593;20860;21446;53;12,1;11,3;535;0;ASP_APT_1998.csv
199801;LFMH;ST-ETIENNE-LOIRE;MT;10941;5372;5542;0;2;0,8;1038;0;ASP_APT_1998.csv
199801;LFMK;CARCASSONNE-SALVAZA;MT;1982;1011;971;0;0;0;140;0;ASP_APT_1998.csv
199801;LFML;MARSEILLE-PROVENCE;MT;442341;191963;192252;11985;2110,4;2503,6;6367;590;ASP_APT_1998.csv
199801;LFMN;NICE-COTE D'AZUR;MT;504326;242996;236587;5111;1200,5;762,6;12851;179;ASP_APT_1998.csv
199801;LFMP;PERPIGNAN-RIVESALTES;MT;29167;15065;13866;0;18,5;5;475;0;ASP_APT_1998.csv
199801;LFMT;MONTPELLIER-MEDITERRANEE;MT;117406;54051;52772;343;477;547,1;1875;126;ASP_APT_1998.csv
199801;LFMU;BEZIERS-VIAS;MT;4618;2402;2198;0;0,6;1,2;144;0;ASP_APT_1998.csv
199801;LFMV;AVIGNON-CAUMONT;MT;9683;5033;4643;0;0,3;0,3;307;0;ASP_APT_1998.csv
199801;LFOB;BEAUVAIS-TILLE;MT;18967;8754;9175;150;62,7;26,1;243;6;ASP_APT_1998.csv
199801;LFOH;LE HAVRE-OCTEVILLE;MT;5529;2130;1892;1507;0;0;603;0;ASP_APT_1998.csv
199801;LFOP;ROUEN-VALLEE DE SEINE;MT;2171;1122;1027;4;1,9;0;279;2;ASP_APT_1998.csv
199801;LFPG;PARIS-CHARLES DE GAULLE;MT;3557889;1329222;1303415;15045;46759,8;44261;31250;2483;ASP_APT_1998.csv
199801;LFPO;PARIS-ORLY;MT;2094091;929870;964438;2260;11117,2;8635,1;20192;150;ASP_APT_1998.csv
199801;LFQQ;LILLE-LESQUIN;MT;47368;23254;23399;18;52,6;17,2;1552;26;ASP_APT_1998.csv
199801;LFRB;BREST-BRETAGNE;MT;52609;24901;22989;2536;106,1;112,3;1079;42;ASP_APT_1998.csv
199801;LFRC;CHERBOURG-MAUPERTUS;MT;1286;669;617;0;0;0;133;0;ASP_APT_1998.csv
199801;LFRD;DINARD-PLEURTUIT-ST-MALO;MT;2520;1297;1146;14;0,8;5,5;183;4;ASP_APT_1998.csv
199801;LFRH;LORIENT-LANN-BIHOUE;MT;14869;7750;7022;0;0,9;8,7;309;0;ASP_APT_1998.csv
199801;LFRK;CAEN-CARPIQUET;MT;3756;1790;1844;116;0,6;0;303;0;ASP_APT_1998.csv
